@RELATION nis

@ATTRIBUTE newsId string
@ATTRIBUTE interval NUMERIC
@ATTRIBUTE count NUMERIC


@DATA
-150k-dress-worn-by-nyong-o-stolen,8.555415512465375,361
-90-men-date-other-men-s-wives-bihar-cm,10.476972972972971,37
-aap-cola-at-kejriwal-s-swearing-in-ceremony,19.744,1
-against-the-sun-is-just-another-film,8.3868,5
-american-sniper-killer-sentenced-to-life,4.95225,52
-amp-lsquo-baby-amp-rsquo-box-office-collections-cross-rs-100-cr,0.43700000000000006,1
-amp-lsquo-higher-literacy-leads-to-more-divorces-amp-rsquo,6.912197986577184,298
-amp-lsquo-salman-got-licence-2-yr-after-hit-and-run-case-amp-rsquo,7.300305555555555,36
-amp-quot-aryabhatta-knew-about-gravity-before-newton-amp-quot,10.761741433021797,1284
-amp-quot-can-t-provide-a-date-to-bring-back-black-money-amp-quot,3.0085,2
-amp-quot-eng-medium-schools-make-education-ludicrous-amp-quot,16.519750000000002,4
-amp-quot-fifty-shades-of-grey-amp-quot-tops-us-box-office,6.819500000000001,54
-amp-quot-final-onslaught-amp-quot-launched-against-boko-haram,6.548253360910029,2901
-amp-quot-govt-not-spending-money-for-promotion-of-vedas-amp-quot,8.358628787878791,264
-amp-quot-india-s-daughter-amp-quot-is-fake-nirbhaya-s-friend,14.689872093023258,86
-amp-quot-indians-praising-pak-should-be-hit-with-shoes-amp-quot,16.070999999999998,2
-amp-quot-jihadi-john-amp-quot-identified-as-man-from-london,9.852053097345136,113
-amp-quot-kejriwal-part-of-rss-plan-for-cong-free-india-amp-quot,0.624,2
-amp-quot-lord-shiva-was-muslims-first-prophet-amp-quot,10.733420454545454,88
-amp-quot-mlas-being-forced-to-sign-papers-against-us-amp-quot,11.952414634146344,41
-amp-quot-our-mothers-are-not-baby-producing-factories-amp-quot,5.528588235294116,51
-amp-quot-our-priority-is-india-s-security-not-alliance-amp-quot,6.3666888888888895,45
-amp-quot-pdp-bjp-pact-meeting-of-north-and-south-poles-amp-quot,4.325165680473375,169
-amp-quot-sreesanth-was-attacked-with-knife-in-jail-amp-quot,10.525806451612905,124
-amp-quot-swine-flu-caused-by-mosquito-bite-amp-quot,5.955434782608696,92
-badlapur-brings-the-best-of-varun-and-nawaz,4.971601851851852,216
-badlapur-collects-7-cr-on-opening-day,8.611870420017876,1119
-badlapur-mints-rs-30-90-crore-in-5-days,7.7402380952380945,42
-be-glad-you-re-not-arrested-mamata-to-journos,8.884096167751265,1383
-bhubaneshwar-best-to-do-business-in-india,6.591305630026813,746
-bigg-boss-is-not-my-cup-of-tea-says-shah-rukh,7.305508982035925,167
-coal-auction-to-raise-rs-1-47-lakh-cr,5.249169611307413,566
-dangal-was-never-offered-to-me-kangana,5.236285714285715,21
-dhoni-behind-yuvi-s-exclusion-from-world-cup,8.466403846153849,52
-dirty-politics-reeks-all-round-mediocrity,5.465000000000001,5
-dum-laga-ke-haisha-mints-rs-3-20-cr-in-2-days,11.002953710506976,1361
-dum-laga-ke-haisha-to-release-internationally,12.111666666666666,3
-environmental-loss-in-sundarbans-at-rs-1290-cr,7.393074608904928,1662
-fast-and-furious-7-to-release-on-april-2,12.436499999999999,2
-fifty-shades-of-grey-grosses-500-million,7.434000000000001,3
-flying-metro-station-to-come-up-in-mayur-vihar,9.79628874734607,471
-game-of-thrones-edition-of-monopoly-launched,4.449413043478262,46
-ghar-wapsi-is-legitimate-praveen-togadia,5.342625786163525,318
-ghar-wapsi-will-continue-says-vhp,6.360535999999998,250
-haider-to-screen-at-london-asian-film-festival,4.749551789077207,531
